Filename,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127
Left Turn_original_10.png_01966ccd-aa1d-4b10-85ea-f394b0816ace.png,77,14,0,0,0,0,0,1,168,13,0,0,0,0,0,1,131,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,77,8,0,0,0,1,11,8,168,11,0,0,0,0,0,10,160,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,26,0,0,0,0,8,168,28,168,2,0,0,0,0,53,120,132,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,168,17,30,0,0,0,0,0,116,117,22,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0
Left Turn_original_10.png_03980e44-e3d3-42b9-a7d4-6f4255ee5cc9.png,1,115,60,0,0,0,0,0,31,135,61,0,0,0,0,1,35,60,7,1,0,0,0,1,0,3,3,8,7,1,0,0,11,138,110,0,0,0,0,0,138,138,22,0,0,0,0,14,115,23,2,0,0,0,0,15,2,4,3,4,2,1,1,0,95,82,29,0,0,0,4,51,138,65,4,0,0,0,0,109,97,33,0,0,0,0,0,11,11,5,0,0,1,1,1,3,93,0,0,0,0,1,14,138,138,0,0,0,0,0,1,138,42,2,0,0,0,0,0,35,9,0,0,1,2,0,0,6
Left Turn_original_10.png_08df47c4-603b-40e4-ad55-cc8c94d80dcc.png,13,155,49,6,1,0,0,0,11,100,54,46,17,8,2,7,24,1,1,6,3,4,7,82,13,0,0,0,0,31,33,76,71,155,15,0,0,0,0,11,155,155,11,1,0,0,0,54,75,7,0,0,0,0,1,115,41,10,0,0,0,1,1,35,34,7,0,0,0,0,0,27,155,46,0,0,0,0,0,103,104,86,0,0,0,0,0,22,38,6,0,0,0,0,0,68,0,0,0,0,0,0,0,0,8,21,1,0,0,0,0,3,53,155,3,0,0,0,0,3,47,92,0,0,0,0,0,17
Left Turn_original_10.png_0ec07909-5659-4981-9edf-57a8fc051a30.png,0,11,137,0,0,0,0,0,0,30,124,0,0,0,0,0,2,40,29,0,3,1,0,0,1,3,0,1,18,4,0,0,1,42,152,0,0,0,0,0,24,152,152,0,0,0,0,1,128,152,42,0,0,0,0,2,21,12,0,0,7,7,1,1,12,16,44,0,0,0,0,13,151,47,32,0,0,0,0,38,152,36,2,0,0,0,0,47,43,2,0,0,2,3,0,7,16,0,0,0,0,0,0,19,152,0,0,0,0,0,0,46,152,0,0,0,0,0,0,44,25,0,0,4,2,0,0,4
Left Turn_original_10.png_0ff11732-a97b-489d-9629-5f000adf7e5a.png,64,5,0,0,0,0,0,3,176,25,0,0,0,0,0,3,110,5,0,0,0,0,1,14,126,9,0,0,1,0,0,2,59,2,0,0,0,0,5,17,176,12,0,0,0,0,1,22,129,2,0,0,0,0,10,52,127,7,0,0,0,0,1,16,49,1,0,0,0,0,3,15,176,17,0,0,0,0,0,11,156,3,0,0,0,0,6,37,93,3,0,0,0,0,1,14,35,1,0,0,0,0,2,10,176,18,0,0,0,0,0,6,151,6,0,0,0,0,4,23,50,1,0,0,0,0,1,11
Left Turn_original_10.png_14bf4903-9454-4fde-a2ac-6b396016c679.png,0,110,83,0,0,0,0,0,25,127,83,0,0,0,0,1,27,56,10,1,0,0,0,1,0,2,3,9,9,1,0,0,6,138,131,0,0,0,0,0,138,138,40,0,0,0,0,10,118,28,3,0,0,0,0,12,2,4,3,3,2,1,2,1,68,71,46,0,0,1,4,33,138,77,10,0,0,0,0,102,103,37,2,0,0,0,0,13,15,6,0,0,1,0,0,2,84,0,0,0,0,4,17,124,138,0,0,0,0,0,1,138,42,2,0,0,0,0,1,36,13,0,0,1,2,0,0,6
Left Turn_original_10.png_15b178c2-e1ea-41e1-a934-8b1fea08ecf6.png,81,13,0,0,0,0,0,1,167,14,0,0,0,0,0,2,131,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0,80,7,0,0,0,1,13,9,167,9,0,0,0,0,0,12,158,1,0,0,0,0,0,13,3,0,0,0,0,0,0,2,25,0,0,0,0,7,167,34,167,2,0,0,0,0,56,136,131,1,0,0,0,0,0,20,2,0,0,0,0,0,0,1,0,0,0,0,0,1,167,17,24,0,0,0,0,0,105,111,24,0,0,0,0,0,2,26,2,0,0,0,0,0,0,1
Left Turn_original_10.png_170dce9a-6141-4fc4-87f3-85841279c961.png,112,41,0,0,0,0,3,10,142,81,0,0,0,0,6,28,10,3,0,0,0,0,10,16,0,0,0,0,0,0,0,0,63,17,0,0,0,0,37,65,142,44,0,0,0,0,13,135,62,5,0,0,0,0,53,114,0,0,0,0,0,0,1,1,39,4,0,0,0,0,56,96,142,72,0,0,0,0,14,81,142,46,0,0,0,0,9,40,1,0,0,0,0,0,3,5,89,9,0,0,0,0,41,98,100,9,0,0,0,0,75,142,142,15,0,0,0,0,4,61,5,1,0,0,0,0,3,6
Left Turn_original_10.png_1898ef9c-c456-47bb-a523-8b1e63260925.png,118,2,0,0,0,0,1,14,137,4,0,0,0,0,3,29,153,12,0,0,0,0,0,6,25,2,0,0,0,0,0,0,153,1,0,0,0,0,1,21,146,1,0,0,0,0,5,49,153,10,0,0,0,0,0,10,36,2,0,2,4,0,0,0,153,2,0,0,0,0,0,18,132,1,0,0,0,0,6,54,153,8,0,0,0,0,0,16,42,2,0,4,8,0,0,0,153,8,0,0,0,0,0,3,119,4,0,0,0,0,1,14,153,13,0,0,0,0,0,4,36,3,0,1,11,0,0,0
Left Turn_original_10.png_1980b028-4e8a-425e-a2ba-e8c6611e5028.png,82,13,0,0,0,0,0,1,167,13,0,0,0,0,0,2,132,5,0,0,0,0,0,2,3,1,0,0,0,0,0,1,82,7,0,0,0,1,12,9,167,9,0,0,0,0,0,12,158,1,0,0,0,0,0,13,4,0,0,0,0,0,0,2,27,0,0,0,0,7,167,35,167,2,0,0,0,0,53,135,131,1,0,0,0,0,0,20,2,0,0,0,0,0,0,2,0,0,0,0,0,1,167,17,25,0,0,0,0,0,103,114,24,0,0,0,0,0,1,27,2,0,0,0,0,0,0,1
