Filename,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127
Right Turn_original_10.png_03a3d1f6-c91f-42d5-a786-eda393985dea.png,24.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,150.0,3.0,2.0,0.0,0.0,0.0,0.0,29.0,179.0,1.0,0.0,0.0,2.0,1.0,0.0,40.0,20.0,0.0,0.0,1.0,9.0,3.0,0.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,179.0,1.0,0.0,0.0,4.0,2.0,0.0,19.0,24.0,0.0,0.0,0.0,19.0,6.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,179.0,1.0,0.0,0.0,6.0,1.0,0.0,8.0,27.0,0.0,0.0,0.0,27.0,4.0,0.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,179.0,1.0,0.0,0.0,4.0,1.0,0.0,20.0,21.0,0.0,0.0,0.0,16.0,6.0,2.0,2.0
Right Turn_original_10.png_0c21da8c-fb9e-4a90-90a0-ce91c60daf14.png,149.0,5.0,0.0,0.0,0.0,0.0,1.0,15.0,102.0,1.0,0.0,0.0,0.0,0.0,13.0,42.0,149.0,4.0,0.0,0.0,2.0,0.0,1.0,15.0,16.0,1.0,0.0,0.0,49.0,5.0,0.0,0.0,149.0,22.0,0.0,0.0,0.0,0.0,0.0,6.0,149.0,7.0,0.0,0.0,0.0,0.0,6.0,24.0,149.0,11.0,0.0,0.0,1.0,0.0,1.0,9.0,24.0,2.0,0.0,0.0,58.0,8.0,0.0,0.0,149.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,149.0,4.0,0.0,0.0,0.0,0.0,10.0,37.0,149.0,3.0,0.0,0.0,1.0,0.0,2.0,20.0,29.0,1.0,0.0,0.0,51.0,7.0,0.0,0.0,149.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,149.0,8.0,0.0,0.0,0.0,0.0,3.0,15.0,100.0,4.0,0.0,0.0,0.0,0.0,1.0,10.0,25.0,1.0,0.0,0.0,36.0,4.0,0.0,0.0
Right Turn_original_10.png_0c42fbd8-c6d4-4b4c-9a73-2c0c919af4e7.png,0.0,3.0,35.0,37.0,24.0,7.0,6.0,0.0,39.0,47.0,27.0,19.0,8.0,2.0,4.0,9.0,13.0,21.0,17.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,147.0,41.0,4.0,0.0,0.0,0.0,20.0,101.0,147.0,42.0,6.0,0.0,0.0,0.0,121.0,147.0,89.0,1.0,0.0,0.0,0.0,5.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,44.0,73.0,11.0,1.0,4.0,27.0,0.0,81.0,29.0,61.0,69.0,9.0,3.0,18.0,19.0,147.0,33.0,9.0,3.0,0.0,0.0,1.0,69.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,6.0,1.0,0.0,23.0,147.0,0.0,31.0,1.0,6.0,4.0,1.0,16.0,147.0,74.0,147.0,0.0,0.0,0.0,0.0,0.0,35.0,147.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Right Turn_original_10.png_0c6bd812-e661-4e21-a271-9425645e7877.png,24.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,150.0,3.0,2.0,0.0,0.0,0.0,0.0,29.0,179.0,1.0,0.0,0.0,2.0,1.0,0.0,40.0,20.0,0.0,0.0,1.0,9.0,3.0,0.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,179.0,1.0,0.0,0.0,4.0,2.0,0.0,19.0,24.0,0.0,0.0,0.0,19.0,6.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,179.0,1.0,0.0,0.0,6.0,1.0,0.0,8.0,27.0,0.0,0.0,0.0,27.0,4.0,0.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,179.0,1.0,0.0,0.0,4.0,1.0,0.0,20.0,21.0,0.0,0.0,0.0,16.0,6.0,2.0,2.0
Right Turn_original_10.png_0c80dde3-70c7-455c-a741-7c73dc262744.png,183.0,24.0,0.0,0.0,0.0,1.0,9.0,15.0,67.0,3.0,0.0,0.0,0.0,3.0,28.0,29.0,183.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,50.0,0.0,0.0,0.0,1.0,5.0,11.0,64.0,4.0,0.0,0.0,1.0,7.0,24.0,20.0,183.0,21.0,0.0,0.0,0.0,0.0,2.0,14.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,32.0,0.0,0.0,0.0,0.0,8.0,31.0,53.0,1.0,0.0,0.0,0.0,5.0,89.0,50.0,102.0,2.0,0.0,0.0,0.0,0.0,17.0,63.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,183.0,64.0,0.0,0.0,0.0,0.0,1.0,7.0,78.0,11.0,0.0,0.0,2.0,4.0,20.0,11.0,43.0,6.0,0.0,0.0,1.0,1.0,5.0,12.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Right Turn_original_10.png_0ef985ca-7818-46e1-be92-37ce5b7a1019.png,115.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,147.0,7.0,0.0,0.0,0.0,0.0,1.0,31.0,147.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,147.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,147.0,10.0,0.0,0.0,0.0,0.0,4.0,32.0,147.0,35.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,147.0,5.0,0.0,0.0,0.0,0.0,1.0,38.0,104.0,1.0,0.0,0.0,0.0,0.0,28.0,105.0,147.0,7.0,0.0,0.0,0.0,0.0,3.0,52.0,43.0,2.0,0.0,1.0,6.0,3.0,3.0,5.0,147.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,127.0,6.0,0.0,0.0,0.0,0.0,3.0,27.0,147.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,7.0,0.0,1.0,8.0,1.0,0.0,0.0
Right Turn_original_10.png_148c5d10-b872-49a6-8b71-80a486290f33.png,158.0,7.0,0.0,0.0,0.0,0.0,4.0,12.0,120.0,4.0,0.0,0.0,0.0,0.0,11.0,21.0,158.0,16.0,0.0,0.0,2.0,0.0,0.0,4.0,12.0,2.0,0.0,1.0,51.0,2.0,0.0,0.0,158.0,13.0,0.0,0.0,0.0,0.0,4.0,12.0,122.0,4.0,0.0,0.0,0.0,0.0,13.0,23.0,158.0,17.0,0.0,0.0,1.0,0.0,0.0,7.0,21.0,2.0,0.0,0.0,59.0,5.0,0.0,0.0,158.0,6.0,0.0,0.0,0.0,0.0,7.0,35.0,81.0,1.0,0.0,0.0,0.0,0.0,39.0,51.0,158.0,5.0,0.0,0.0,1.0,0.0,1.0,28.0,25.0,1.0,0.0,0.0,54.0,6.0,0.0,1.0,158.0,21.0,0.0,0.0,0.0,0.0,1.0,5.0,73.0,5.0,0.0,0.0,0.0,0.0,7.0,10.0,158.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,2.0,0.0,0.0,38.0,4.0,0.0,0.0
Right Turn_original_10.png_1cad4799-7cdd-4284-9e3b-e213298bb3de.png,0.0,3.0,36.0,36.0,23.0,7.0,6.0,0.0,39.0,47.0,28.0,19.0,8.0,2.0,4.0,8.0,13.0,21.0,17.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,147.0,40.0,4.0,0.0,0.0,0.0,20.0,100.0,147.0,42.0,6.0,0.0,0.0,0.0,121.0,147.0,89.0,1.0,0.0,0.0,0.0,5.0,25.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,44.0,72.0,10.0,1.0,4.0,28.0,0.0,82.0,28.0,60.0,68.0,9.0,3.0,18.0,19.0,147.0,33.0,8.0,3.0,0.0,0.0,1.0,69.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,6.0,1.0,0.0,23.0,147.0,0.0,31.0,1.0,5.0,4.0,1.0,16.0,147.0,74.0,147.0,0.0,0.0,0.0,0.0,0.0,35.0,147.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Right Turn_original_10.png_1d3b3fd6-7740-4594-a378-deca8abb6f95.png,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,97.0,0.0,0.0,0.0,0.0,6.0,52.0,91.0,4.0,0.0,0.0,0.0,0.0,7.0,65.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,154.0,27.0,2.0,0.0,0.0,0.0,0.0,66.0,133.0,34.0,33.0,0.0,0.0,1.0,4.0,24.0,15.0,16.0,20.0,0.0,0.0,1.0,7.0,9.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,154.0,136.0,20.0,0.0,0.0,0.0,0.0,7.0,32.0,125.0,154.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,154.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,148.0,24.0,5.0,0.0,0.0,0.0,0.0,17.0,15.0,22.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,69.0,4.0,3.0,0.0,0.0,0.0
Right Turn_original_10.png_20098862-0ba3-43d7-a6a3-fd16eaba3c6f.png,24.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,148.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0,179.0,1.0,0.0,0.0,2.0,1.0,0.0,42.0,21.0,0.0,0.0,1.0,9.0,3.0,0.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,179.0,0.0,0.0,0.0,4.0,2.0,0.0,21.0,25.0,0.0,0.0,0.0,19.0,6.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,179.0,0.0,0.0,0.0,6.0,1.0,0.0,9.0,27.0,0.0,0.0,0.0,27.0,3.0,0.0,1.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,179.0,0.0,0.0,0.0,4.0,1.0,0.0,22.0,20.0,0.0,0.0,0.0,17.0,5.0,2.0,2.0
